sample_date,collector_name,location,location_number,time_code,sample_start,sample_end,weather,wind (km/hr),air_temp,shade_coverage,observation_id,pollinator,insect_order,insect_family,insect_genus,insect_species,plant_host,plant_order,plant_family,plant_genus,plant_species,plant_color,plant_pattern,Photo reference #,Notes (additional observations),,name_primary,name_secondary,final
2022-06-29,"Keegan,Asuma",Student_Union,S2,E,13:30,13:55,cloudy,17,18,no_shade,S2BB1E,BB,hymenoptera,apidae,bombus,bifarius,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-27,"Liz,Dave,Navneet",Community_Garden,C4,A,12:03,12:28,partly_cloudy,5,27,no_shade,C4BB1A,BB,hymenoptera,apidae,bombus,bifarius,catmint,lamiales,lamiaceae,nepeta,spp,purple,spotted,,,,Liz,,Liz
2022-06-24,"Keegan,Parsa",Community_Garden,C3,M,10:01,10:26,sunny,7,17,mostly_shade,C3BB1M,BB,hymenoptera,apidae,bombus,bifarius,purple_toadflax,laminales,phantaginaceae,linaria,purpurea,purple,solid,,,,Liz,,Liz
2022-07-22,David,Community_Garden,C6,M,10:52,11:17,sunny,9,22,total_shade,C6BF1M,BF,diptera,bombyliidae,bombylius ,spp,daisy,asterales,asteraceae,bellis,perennis,white,solid,,,,David,Liz,Liz
2022-07-22,David,Community_Garden,C6,M,10:52,11:17,sunny,9,22,total_shade,C6BF2M,BF,diptera,bombyliidae,bombylius ,spp,daisy,asterales,asteraceae,bellis,perennis,white,solid,,,,David,Liz,Liz
2022-07-22,David,Community_Garden,C6,M,10:52,11:17,sunny,9,22,total_shade,C6BF3M,BF,diptera,bombyliidae,bombylius ,spp,daisy,asterales,asteraceae,bellis,perennis,white,solid,,,,David,Liz,Liz
2022-07-14,"David, Liz",Community_Garden,C5,M,10:43,11:09,sunny,10,21,partly_shade,C5BF1M,BF,diptera,bombyliidae,bombylius ,spp,st_john_wort,malphighiales,hypericaceae,hypericum,calycinum,yellow,solid,,,,Liz,,Liz
2022-06-01,"David,Parsa",Library,L1,A,13:35,14:00,overcast,8,20,no_shade,L1BF1A,BF,diptera,bombyliidae,null,null,herb_robert,geraniales,geraniaceae,geranium,robertianum,pink,striped,,,,David,Liz,Keegan
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL2A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL3A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL4A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL5A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL6A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL7A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Keegan,Dave, Liz",Student_Union,S10,A,12:31,12:56,smokey,15,18,no_shade,S10BFL8A,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-13,"Liz,Cai",Student_Union,S10,E,14:48,15:14,smokey,10,21,no_shade,S10BFL1E,BFL,hymenoptera,apidae,bombus,flavifrons,bachelor_button,asterales,asteraceae,centaurea,cyanus,blue,solid,,,,,,
2022-09-13,"Liz,Cai",Student_Union,S10,E,14:48,15:14,smokey,10,21,no_shade,S10BFL2E,BFL,hymenoptera,apidae,bombus,flavifrons,bachelor_button,asterales,asteraceae,centaurea,cyanus,blue,solid,,,,,,
2022-09-13,"Liz,Cai",Student_Union,S10,E,14:48,15:14,smokey,10,21,no_shade,S10BFL3E,BFL,hymenoptera,apidae,bombus,flavifrons,rocket_larkspur,ranunculales,ranunculaceae,delphinium,spp,blue,solid,,orange body BFL,,,,
2022-09-13,"Liz,Cai",Student_Union,S10,E,14:48,15:14,smokey,10,21,no_shade,S10BFL4E,BFL,hymenoptera,apidae,bombus,flavifrons,yarrow,asterales,asteraceae,achillea,millefolium,white,solid,,,,,,
2022-09-08,"Liz,Jen",Library,L10,M,10:36,11:01,sunny,8,18,no_shade,L10BFL1M,BFL,hymenoptera,apidae,bombus,flavifrons,canada_goldenrod,asterales,asteraceae,solidago,canadensis,yellow,solid,,,,Liz,,Liz
2022-09-08,Jen,Library,L10,A,12:05,12:30,sunny,8,19,no_shade,L10BFL2A,BFL,hymenoptera,apidae,bombus,flavifrons,canada_goldenrod,asterales,asteraceae,solidago,canadensis,yellow,solid,,,,Liz,,Liz
2022-09-08,Jen,Library,L10,A,12:05,12:30,sunny,8,19,no_shade,L10BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,canada_goldenrod,asterales,asteraceae,solidago,canadensis,yellow,solid,,,,Liz,,Liz
2022-08-22,"Liz,Jen",Library,L8,M,10:47,11:12,cloudy,3,21,no_shade,L8BFL1M,BFL,hymenoptera,apidae,bombus,flavifrons,sunflower,asterales,asteraceae,helianthus,spp,yellow,solid,,,,"David,",Liz,Liz
2022-08-22,"Liz,Jen",Library,L8,A,12:08,12:33,cloudy,10,26,partly_shade,L8BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,sunflower,asterales,asteraceae,helianthus,spp,yellow,solid,,,,David,Liz,Liz
2022-08-12,"David,Jen,Parsa",Student_Union,S6,M,10:42,11:07,cloudy,5,22,no_shade,S6BFL1M,BFL,hymenoptera,apidae,bombus,flavifrons,gladiolus,asparagales,iridaceae,gladiolus,spp,white,striped,,,,Liz,,
2022-08-05,"David, Jen",Library,L7,M,10:42,11:07,sunny,10,20,partly_shade,L7BFL1M,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"David, Jen",Library,L7,M,10:42,11:07,sunny,10,20,partly_shade,L7BFL2M,BFL,hymenoptera,apidae,bombus,flavifrons,fireweed,myrtales,onagraceae,chameanerion,angustifolium,purple,solid,,,,Liz,,Liz
2022-08-05,"David, Jen",Library,L7,M,10:42,11:07,sunny,10,20,partly_shade,L7BFL3M,BFL,hymenoptera,apidae,bombus,flavifrons,fireweed,myrtales,onagraceae,chameanerion,angustifolium,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL10A,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL2A,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL3A,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL4A,BFL,hymenoptera,apidae,bombus,flavifrons,crocosmia,asparagales,iridaceae,crocosmia,spp,red,striped,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL5A,BFL,hymenoptera,apidae,bombus,flavifrons,fireweed,myrtales,onagraceae,chameanerion,angustifolium,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL6A,BFL,hymenoptera,apidae,bombus,flavifrons,fireweed,myrtales,onagraceae,chameanerion,angustifolium,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL7A,BFL,hymenoptera,apidae,bombus,flavifrons,crocosmia,asparagales,iridaceae,crocosmia,spp,red,striped,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL8A,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,A,12:07,12:34,sunny,28,21,mostly_shade,L7BFL9A,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,E,13:03,13:27,sunny,28,22,mostly_shade,L7BFL1E,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,E,13:03,13:27,sunny,28,22,mostly_shade,L7BFL2E,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,E,13:03,13:27,sunny,28,22,mostly_shade,L7BFL3E,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,E,13:03,13:27,sunny,28,22,mostly_shade,L7BFL4E,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-08-05,"Keegan,Jen,Parsa",Library,L7,E,13:03,13:27,sunny,28,22,mostly_shade,L7BFL5E,BFL,hymenoptera,apidae,bombus,flavifrons,purple_coneflower,aterales,asteraceae,echinacea,purpurea,purple,solid,,,,Liz,,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL10M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL1M,BFL,hymenoptera,apidae,bombus,flavifrons,butterfly_weed,gentianales,apocynaceae,asclepias,tuberosa,orange,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL2M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL3M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL4M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL5M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL6M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL7M,BFL,hymenoptera,apidae,bombus,flavifrons,white_sweet_clover,fabales,fabaceae,melilotus,albus,white,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL8M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Parsa",Library,L6,M,10:56,11:21,sunny,5,26,mostly_shade,L6BFL9M,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL10A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL11A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL12A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL13A,BFL,hymenoptera,apidae,bombus,flavifrons,moonbeam,asterales,asteraceae,coreopsis,verticillata,yellow,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL2A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL3A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL4A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL5A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL6A,BFL,hymenoptera,apidae,bombus,flavifrons,butterfly_weed,gentianales,apocynaceae,asclepias,tuberosa,orange,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL7A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL8A,BFL,hymenoptera,apidae,bombus,flavifrons,butterfly_weed,gentianales,apocynaceae,asclepias,tuberosa,orange,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,A,12:04,12:29,sunny,11,25,mostly_shade,L6BFL9A,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,E,13:18,13:43,sunny,11,28,mostly_shade,L6BFL1E,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,E,13:18,13:43,sunny,11,28,mostly_shade,L6BFL2E,BFL,hymenoptera,apidae,bombus,flavifrons,tansy,asterales,asteraceae,tanacetum,vulgare,yellow,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,E,13:18,13:43,sunny,11,28,mostly_shade,L6BFL3E,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,E,13:18,13:43,sunny,11,28,mostly_shade,L6BFL4E,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,E,13:18,13:43,sunny,11,28,mostly_shade,L6BFL5E,BFL,hymenoptera,apidae,bombus,flavifrons,veronica,lamiales,plantaginaceae,veronica,spicata,purple,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,E,13:18,13:43,sunny,11,28,mostly_shade,L6BFL6E,BFL,hymenoptera,apidae,bombus,flavifrons,tansy,asterales,asteraceae,tanacetum,vulgare,yellow,solid,,,,David,Liz,Liz
2022-07-29,"David, Keegan",Library,L6,E,13:18,13:43,sunny,11,28,mostly_shade,L6BFL7E,BFL,hymenoptera,apidae,bombus,flavifrons,tansy,asterales,asteraceae,tanacetum,vulgare,yellow,solid,,,,David,Liz,Liz
2022-06-29,"Keegan,Asuma",Student_Union,S2,E,13:30,13:55,cloudy,17,18,no_shade,S2BFL1E,BFL,hymenoptera,apidae,bombus,flavifrons,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-29,"Keegan,Asuma",Student_Union,S2,E,13:30,13:55,cloudy,17,18,no_shade,S2BFL2E,BFL,hymenoptera,apidae,bombus,flavifrons,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-29,"Keegan,Asuma",Student_Union,S2,E,13:30,13:55,cloudy,17,18,no_shade,S2BFL3E,BFL,hymenoptera,apidae,bombus,flavifrons,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-17,"Cai,Dave,Keegan",Library,L2,M,10:25,10:50,partly_cloudy,10,17,partly_shade,L2BFL1M,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,"stripped, Orange",,,Liz,,Liz
2022-06-17,"Cai,Dave,Keegan",Library,L2,M,10:25,10:50,partly_cloudy,10,17,partly_shade,L2BFL2M,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,Liz,,Liz
2022-06-17,"Cai,Dave,Keegan",Library,L2,M,10:25,10:50,partly_cloudy,10,17,partly_shade,L2BFL3M,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,Liz,,Liz
2022-06-17,"Cai,Dave,Keegan",Library,L2,M,10:25,10:50,partly_cloudy,10,17,partly_shade,L2BFL4M,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,Liz,,Liz
2022-06-17,"Cai,Dave,Keegan",Library,L2,M,10:25,10:50,partly_cloudy,10,17,partly_shade,L2BFL5M,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,Liz,,Liz
2022-06-17,"Cai,Dave,Keegan",Library,L2,M,10:25,10:50,partly_cloudy,10,17,partly_shade,L2BFL6M,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,Liz,,Liz
2022-06-17,"Cai,Dave,Keegan",Library,L2,A,11:52,12:18,partly_cloudy,33,16,partly_shade,L2BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,Liz,,Keegan
2022-06-17,"Cai,Dave,Keegan",Library,L2,A,11:52,12:18,partly_cloudy,33,16,partly_shade,L2BFL2A,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,Liz,,Keegan
2022-06-07,"Liz,Dave",Student_Union,S1,A,12:31,12:56,overcast,5,19,no_shade,S1BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,lacy_phacelia,boranginales,boranginaceae,phacelia,tancetifolia,purple,solid,,,,Liz,,
2022-06-01,"David,Parsa",Library,L1,A,13:35,14:00,overcast,8,20,no_shade,L1BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,David,Liz,Keegan
2022-06-01,"David,Parsa",Library,L1,A,13:35,14:00,overcast,8,20,no_shade,L1BFL2A,BFL,hymenoptera,apidae,bombus,flavifrons,dead_nettle,lamiales,lamiaceae,lamium,maculatum,pink,solid,,,,David,Liz,Keegan
2022-05-24,"David,Jen",Student_Union,S0,A,13:39,14:04,cloudy,6,16,no_shade,S0BF1A,BFL,hymenoptera,apidae,bombus,flavifrons,western_wallflower,brassicales,brassicaceae,erysimum,capitatum,orange,solid,,,,David,Liz,Sal/Keegan
2022-05-24,"David,Jen",Student_Union,S0,A,13:39,14:04,cloudy,6,16,no_shade,S0BFL1A,BFL,hymenoptera,apidae,bombus,flavifrons,mountain_bluet,asterales,asteracea,centaurea,montana,blue,striped,,,,David,Liz,Sal/Keegan
2022-09-13,"Keegan,Dave",Student_Union,S10,M,10:40,11:05,smokey,2,18,no_shade,S10BI1M,BI,hymenoptera,apidae,bombus,impatiens,california_poppy,ranunculales,papveraceae,eschscholzia,californica,orange,solid,,,,,,
2022-09-13,"Keegan,Dave",Student_Union,S10,M,10:40,11:05,smokey,2,18,no_shade,S10BI2M,BI,hymenoptera,apidae,bombus,impatiens,rocket_larkspur,ranunculales,ranunculaceae,delphinium,spp,blue,solid,,,,,,
2022-09-13,"Keegan,Dave",Student_Union,S10,M,10:40,11:05,smokey,2,18,no_shade,S10BI3M,BI,hymenoptera,apidae,bombus,impatiens,bachelor_button,asterales,asteraceae,centaurea,cyanus,blue,solid,,,,,,
2022-09-08,"Keegan,David",Student_Union,S9,M,10:36,11:01,sunny,11,16,no_shade,S9BI1M,BI,hymenoptera,apidae,bombus,impatiens,sweet_alyssum,brassicales,brassicaceae,lobularia,maritima,white,solid,,,,,,
2022-09-08,"Keegan,David",Student_Union,S9,M,10:36,11:01,sunny,11,16,no_shade,S9BI2M,BI,hymenoptera,apidae,bombus,impatiens,black_eyed_susan,asterales,asteraceae,rudbeckia,hirta,yellow,solid,,,,,,
2022-09-08,"Keegan,David",Student_Union,S9,M,10:36,11:01,sunny,11,16,no_shade,S9BI3M,BI,hymenoptera,apidae,bombus,impatiens,black_eyed_susan,asterales,asteraceae,rudbeckia,hirta,yellow,solid,,,,,,
2022-09-08,"Keegan,David",Student_Union,S9,M,10:36,11:01,sunny,11,16,no_shade,S9BI4M,BI,hymenoptera,apidae,bombus,impatiens,thin_lavender,laminales,lamiaceae,lavandula,spp,purple,solid,,,,,,
2022-09-08,"Keegan,David",Student_Union,S9,M,10:36,11:01,sunny,11,16,no_shade,S9BI5M,BI,hymenoptera,apidae,bombus,impatiens,black_eyed_susan,asterales,asteraceae,rudbeckia,hirta,yellow,solid,,,,,,
2022-09-08,"Keegan,David",Student_Union,S9,A,12:40,13:05,sunny,26,19,no_shade,S9BI1A,BI,hymenoptera,apidae,bombus,impatiens,black_eyed_susan,asterales,asteraceae,rudbeckia,hirta,yellow,solid,,,,,,
